strategy,total_predicted_ashp_heat_kwh,total_predicted_dhw_demand_served_kwh,min_top_tank_temp_c,timesteps_top_below_comfort,solar_thermal_input_kwh,solar_charge_fraction_proxy
normal,814.2149024310163,782.5998997492586,34.340584640608455,23,836.0,0.5066006850189303
solar_priority,719.757289551975,755.9841893061321,33.199560517395824,34,836.0,0.5373588834288864
preheat,994.2167627047154,790.5273902335327,34.328414672702074,22,836.0,0.456776496115438
